c_name, c_model_id, c_year, c_load,c_price1, c_price2, c_price3,c_price4, c_price5, c_price6, c_price7
2004款 1.3L AT起亚千里马,14134,2004,13.7219,0.11,0.13,0.27,0.42,0.48,0.66,0.69
2004款 3.0标致标致607,2575,2004,16.676,1.25,1.39,1.64,1.89,1.98,2.25,2.42
2004款 206CC 1.6标致标致206(进口),21823,2004,13.7219,1.97,2.12,2.37,2.6,2.69,2.95,3.12
2004款 SV 2.0标致标致407,22932,2004,16.9919,2.51,2.65,2.96,3.26,3.38,3.72,3.91
2004款 0.8L 手动宝骏乐驰,19399,2004,13.7219,0.06,0.1,0.18,0.27,0.31,0.41,0.45
2004款 2.0L 尊贵型福特蒙迪欧,6018,2004,16.9919,0.77,0.88,1.06,1.24,1.31,1.52,1.64
2004款 美日之星 1.3L 舒适型吉利汽车英伦C5,27631,2004,13.7219,0.08,0.1,0.14,0.2,0.22,0.28,0.3
2005款 4.5L 自动GX丰田兰德酷路泽,22062,2005,16.2852,12.65,13.94,14.94,15.73,16.04,16.92,18.48
2004款 1.8L 手动豪华型现代伊兰特,19931,2004,16.2987,0.43,0.5,0.66,0.83,0.89,1.08,1.16
2004款 1.8L 自动豪华型现代伊兰特,19932,2004,16.2987,0.57,0.64,0.81,0.98,1.05,1.24,1.33
2004款 2.4L 四驱标准型日产帕拉丁,22686,2004,14.8902,1.58,1.69,1.91,2.13,2.22,2.46,2.6
2004款 2.4L 两驱标准型日产帕拉丁,22683,2004,14.8902,1.53,1.67,1.9,2.11,2.2,2.44,2.6
2004款 3.3L 四驱标准型日产帕拉丁,22688,2004,14.8902,2.01,2.19,2.45,2.69,2.78,3.05,3.27
2004款 4.2L 敞蓬版玛莎拉蒂玛莎拉蒂Spyder,29107,2004,16.6217,4.35,4.85,5.36,5.82,6,6.51,7.1
2004款 3.0L 娱乐型奥迪奥迪A4,207,2004,16.9919,2.05,2.12,2.34,2.58,2.68,2.94,3.09
2004款 1.8T 技术型奥迪奥迪A4,197,2004,16.9919,1.6,1.77,2,2.22,2.31,2.55,2.76
2004款 2.4L 豪华舒适奥迪奥迪A6,19608,2004,16.676,1.44,1.69,1.92,2.13,2.21,2.45,2.75
2004款 1.8T 手动基本奥迪奥迪A6,19604,2004,16.676,1.12,1.3,1.51,1.71,1.79,2.01,2.23
2004款 2.0 AT阿尔法?罗密欧ALFA 156,23183,2004,16.9919,1.72,1.8,2.06,2.34,2.45,2.76,2.9
2004款 1.8L 手动舒适型大众桑塔纳志俊,21202,2004,16.9919,0.17,0.22,0.36,0.52,0.58,0.75,0.82
2004款 1.8L 自动豪华型大众桑塔纳志俊,4437,2004,16.9919,0.28,0.34,0.49,0.65,0.72,0.89,0.96
